,lga_name,state_name,vax_1_%_15+,vax_2_%_15+,population_15+,date,state_code,vax_1_dose_15+,vax_2_dose_15+,lhd_code,lhd_name,lga_code
171,Blayney (A),New South Wales,95.0,95.0,5867.0,2021-12-13,NSW,5574.0,5574.0,X850,Western NSW,10850
172,Blayney (A),New South Wales,95.0,95.0,5867.0,2021-12-06,NSW,5574.0,5574.0,X850,Western NSW,10850
173,Blayney (A),New South Wales,95.0,95.0,5867.0,2021-11-29,NSW,5574.0,5574.0,X850,Western NSW,10850
174,Blayney (A),New South Wales,95.0,95.0,5867.0,2021-11-22,NSW,5574.0,5574.0,X850,Western NSW,10850
175,Blayney (A),New South Wales,95.0,95.0,5867.0,2021-11-15,NSW,5574.0,5574.0,X850,Western NSW,10850
176,Blayney (A),New South Wales,95.0,95.0,5867.0,2021-11-08,NSW,5574.0,5574.0,X850,Western NSW,10850
177,Blayney (A),New South Wales,95.0,93.7,5867.0,2021-11-01,NSW,5574.0,5497.0,X850,Western NSW,10850
178,Blayney (A),New South Wales,95.0,90.2,5867.0,2021-10-25,NSW,5574.0,5292.0,X850,Western NSW,10850
179,Blayney (A),New South Wales,95.0,85.7,5867.0,2021-10-18,NSW,5574.0,5028.0,X850,Western NSW,10850
180,Blayney (A),New South Wales,94.9,67.6,5867.0,2021-10-04,NSW,5568.0,3966.0,X850,Western NSW,10850
181,Blayney (A),New South Wales,95.0,76.0,5867.0,2021-10-11,NSW,5574.0,4459.0,X850,Western NSW,10850
182,Blayney (A),New South Wales,92.4,57.5,5867.0,2021-09-27,NSW,5421.0,3374.0,X850,Western NSW,10850
183,Blayney (A),New South Wales,88.2,49.2,5867.0,2021-09-20,NSW,5175.0,2887.0,X850,Western NSW,10850
184,Blayney (A),New South Wales,0.8010908471109596,0.4133287881370376,5867.0,2021-09-13,NSW,47.0,24.0,X850,Western NSW,10850
185,Blayney (A),New South Wales,0.7078575080961309,0.3700357934208284,5867.0,2021-09-06,NSW,42.0,22.0,X850,Western NSW,10850
186,Blayney (A),New South Wales,0.635,0.329,5867.0,2021-08-28,NSW,37.0,19.0,X850,Western NSW,10850
187,Blue Mountains (C),New South Wales,95.0,95.0,64784.0,2021-12-20,NSW,61545.0,61545.0,X750,Nepean Blue Mountains,10900
188,Blue Mountains (C),New South Wales,95.0,95.0,64784.0,2021-12-13,NSW,61545.0,61545.0,X750,Nepean Blue Mountains,10900
189,Blue Mountains (C),New South Wales,95.0,95.0,64784.0,2021-12-06,NSW,61545.0,61545.0,X750,Nepean Blue Mountains,10900
190,Blue Mountains (C),New South Wales,95.0,95.0,64784.0,2021-11-29,NSW,61545.0,61545.0,X750,Nepean Blue Mountains,10900
191,Blue Mountains (C),New South Wales,95.0,95.0,64784.0,2021-11-22,NSW,61545.0,61545.0,X750,Nepean Blue Mountains,10900
192,Blue Mountains (C),New South Wales,95.0,94.7,64784.0,2021-11-15,NSW,61545.0,61350.0,X750,Nepean Blue Mountains,10900
193,Blue Mountains (C),New South Wales,95.0,93.7,64784.0,2021-11-08,NSW,61545.0,60703.0,X750,Nepean Blue Mountains,10900
194,Blue Mountains (C),New South Wales,95.0,91.9,64784.0,2021-11-01,NSW,61545.0,59536.0,X750,Nepean Blue Mountains,10900
195,Blue Mountains (C),New South Wales,95.0,89.5,64784.0,2021-10-25,NSW,61545.0,57982.0,X750,Nepean Blue Mountains,10900
196,Blue Mountains (C),New South Wales,95.0,85.3,64784.0,2021-10-18,NSW,61545.0,55261.0,X750,Nepean Blue Mountains,10900
197,Blue Mountains (C),New South Wales,92.7,72.2,64784.0,2021-10-04,NSW,60055.0,46774.0,X750,Nepean Blue Mountains,10900
198,Blue Mountains (C),New South Wales,94.3,78.6,64784.0,2021-10-11,NSW,61091.0,50920.0,X750,Nepean Blue Mountains,10900
199,Blue Mountains (C),New South Wales,89.9,65.8,64784.0,2021-09-27,NSW,58241.0,42628.0,X750,Nepean Blue Mountains,10900
200,Blue Mountains (C),New South Wales,86.6,59.2,64784.0,2021-09-20,NSW,56103.0,38352.0,X750,Nepean Blue Mountains,10900
201,Blue Mountains (C),New South Wales,0.8246017535193875,0.5315818720671771,64784.0,2021-09-13,NSW,534.0,344.0,X750,Nepean Blue Mountains,10900
202,Blue Mountains (C),New South Wales,0.7785255618671276,0.4766145961965917,64784.0,2021-09-06,NSW,504.0,309.0,X750,Nepean Blue Mountains,10900
203,Blue Mountains (C),New South Wales,0.702,0.419,64784.0,2021-08-28,NSW,455.0,271.0,X750,Nepean Blue Mountains,10900
204,Bogan (A),New South Wales,,,2035.0,2021-12-20,NSW,,,X850,Western NSW,10950
205,Bogan (A),New South Wales,,,2035.0,2021-12-13,NSW,,,X850,Western NSW,10950
206,Bogan (A),New South Wales,,,2035.0,2021-12-06,NSW,,,X850,Western NSW,10950
207,Bogan (A),New South Wales,,,2035.0,2021-11-29,NSW,,,X850,Western NSW,10950
208,Bogan (A),New South Wales,,,2035.0,2021-11-22,NSW,,,X850,Western NSW,10950
209,Bogan (A),New South Wales,,,2035.0,2021-11-15,NSW,,,X850,Western NSW,10950
210,Bogan (A),New South Wales,,,2035.0,2021-11-08,NSW,,,X850,Western NSW,10950
211,Bogan (A),New South Wales,,,2035.0,2021-11-01,NSW,,,X850,Western NSW,10950
212,Bogan (A),New South Wales,,,2035.0,2021-10-25,NSW,,,X850,Western NSW,10950
213,Bogan (A),New South Wales,,,2035.0,2021-10-18,NSW,,,X850,Western NSW,10950
214,Bogan (A),New South Wales,,,2035.0,2021-10-04,NSW,,,X850,Western NSW,10950
215,Bogan (A),New South Wales,,,2035.0,2021-10-11,NSW,,,X850,Western NSW,10950
216,Bogan (A),New South Wales,,,2035.0,2021-09-27,NSW,,,X850,Western NSW,10950
217,Bogan (A),New South Wales,,,2035.0,2021-09-20,NSW,,,X850,Western NSW,10950
218,Bogan (A),New South Wales,,,,2021-09-13,NSW,,,X850,Western NSW,10950
219,Bogan (A),New South Wales,,,2035.0,2021-09-06,NSW,,,X850,Western NSW,10950
220,Bogan (A),New South Wales,,,2035.0,2021-08-28,NSW,,,X850,Western NSW,10950
221,Bourke (A),New South Wales,,,1930.0,2021-12-20,NSW,,,X850,Western NSW,11150
222,Bourke (A),New South Wales,,,1930.0,2021-12-13,NSW,,,X850,Western NSW,11150
223,Bourke (A),New South Wales,,,1930.0,2021-12-06,NSW,,,X850,Western NSW,11150
224,Bourke (A),New South Wales,,,1930.0,2021-11-29,NSW,,,X850,Western NSW,11150
225,Bourke (A),New South Wales,,,1930.0,2021-11-22,NSW,,,X850,Western NSW,11150
226,Bourke (A),New South Wales,,,1930.0,2021-11-15,NSW,,,X850,Western NSW,11150
227,Bourke (A),New South Wales,,,1930.0,2021-11-08,NSW,,,X850,Western NSW,11150
228,Bourke (A),New South Wales,,,1930.0,2021-11-01,NSW,,,X850,Western NSW,11150
229,Bourke (A),New South Wales,,,1930.0,2021-10-25,NSW,,,X850,Western NSW,11150
230,Bourke (A),New South Wales,,,1930.0,2021-10-18,NSW,,,X850,Western NSW,11150
231,Bourke (A),New South Wales,,,1930.0,2021-10-04,NSW,,,X850,Western NSW,11150
232,Bourke (A),New South Wales,,,1930.0,2021-10-11,NSW,,,X850,Western NSW,11150
233,Bourke (A),New South Wales,,,1930.0,2021-09-27,NSW,,,X850,Western NSW,11150
234,Bourke (A),New South Wales,,,1930.0,2021-09-20,NSW,,,X850,Western NSW,11150
235,Bourke (A),New South Wales,,,,2021-09-13,NSW,,,X850,Western NSW,11150
236,Bourke (A),New South Wales,,,1930.0,2021-09-06,NSW,,,X850,Western NSW,11150
237,Bourke (A),New South Wales,,,1930.0,2021-08-28,NSW,,,X850,Western NSW,11150
238,Brewarrina (A),New South Wales,,,1231.0,2021-12-20,NSW,,,X850,Western NSW,11200
239,Brewarrina (A),New South Wales,,,1231.0,2021-12-13,NSW,,,X850,Western NSW,11200
240,Brewarrina (A),New South Wales,,,1231.0,2021-12-06,NSW,,,X850,Western NSW,11200
241,Brewarrina (A),New South Wales,,,1231.0,2021-11-29,NSW,,,X850,Western NSW,11200
242,Brewarrina (A),New South Wales,,,1231.0,2021-11-22,NSW,,,X850,Western NSW,11200
243,Brewarrina (A),New South Wales,,,1231.0,2021-11-15,NSW,,,X850,Western NSW,11200
244,Brewarrina (A),New South Wales,,,1231.0,2021-11-08,NSW,,,X850,Western NSW,11200
245,Brewarrina (A),New South Wales,,,1231.0,2021-11-01,NSW,,,X850,Western NSW,11200
246,Brewarrina (A),New South Wales,,,1231.0,2021-10-25,NSW,,,X850,Western NSW,11200
247,Brewarrina (A),New South Wales,,,1231.0,2021-10-18,NSW,,,X850,Western NSW,11200
248,Brewarrina (A),New South Wales,,,1231.0,2021-10-04,NSW,,,X850,Western NSW,11200
249,Brewarrina (A),New South Wales,,,1231.0,2021-10-11,NSW,,,X850,Western NSW,11200
250,Brewarrina (A),New South Wales,,,1231.0,2021-09-27,NSW,,,X850,Western NSW,11200
251,Brewarrina (A),New South Wales,,,1231.0,2021-09-20,NSW,,,X850,Western NSW,11200
252,Brewarrina (A),New South Wales,,,,2021-09-13,NSW,,,X850,Western NSW,11200
253,Brewarrina (A),New South Wales,,,1231.0,2021-09-06,NSW,,,X850,Western NSW,11200
254,Brewarrina (A),New South Wales,,,1231.0,2021-08-28,NSW,,,X850,Western NSW,11200
255,Broken Hill (C),New South Wales,91.1,89.5,14532.0,2021-12-20,NSW,13239.0,13006.0,X860,Far West,11250
256,Broken Hill (C),New South Wales,90.9,89.1,14532.0,2021-12-13,NSW,13210.0,12948.0,X860,Far West,11250
257,Broken Hill (C),New South Wales,90.8,88.7,14532.0,2021-12-06,NSW,13195.0,12890.0,X860,Far West,11250
258,Broken Hill (C),New South Wales,90.6,88.1,14532.0,2021-11-29,NSW,13166.0,12803.0,X860,Far West,11250
259,Broken Hill (C),New South Wales,90.2,87.5,14532.0,2021-11-22,NSW,13108.0,12716.0,X860,Far West,11250
260,Broken Hill (C),New South Wales,89.8,86.6,14532.0,2021-11-15,NSW,13050.0,12585.0,X860,Far West,11250
261,Broken Hill (C),New South Wales,89.5,85.1,14532.0,2021-11-08,NSW,13006.0,12367.0,X860,Far West,11250
262,Broken Hill (C),New South Wales,89.0,82.7,14532.0,2021-11-01,NSW,12933.0,12018.0,X860,Far West,11250
263,Broken Hill (C),New South Wales,88.2,80.3,14532.0,2021-10-25,NSW,12817.0,11669.0,X860,Far West,11250
264,Broken Hill (C),New South Wales,86.9,76.6,14532.0,2021-10-18,NSW,12628.0,11132.0,X860,Far West,11250
265,Broken Hill (C),New South Wales,83.0,65.6,14532.0,2021-10-04,NSW,12062.0,9533.0,X860,Far West,11250
266,Broken Hill (C),New South Wales,85.0,71.4,14532.0,2021-10-11,NSW,12352.0,10376.0,X860,Far West,11250
267,Broken Hill (C),New South Wales,80.5,58.6,14532.0,2021-09-27,NSW,11698.0,8516.0,X860,Far West,11250
268,Broken Hill (C),New South Wales,77.7,50.3,14532.0,2021-09-20,NSW,11291.0,7310.0,X860,Far West,11250
269,Broken Hill (C),New South Wales,0.7341040462427745,0.4313239746765758,14532.0,2021-09-13,NSW,107.0,63.0,X860,Far West,11250
270,Broken Hill (C),New South Wales,0.6663225984035231,0.3752408477842004,14532.0,2021-09-06,NSW,97.0,55.0,X860,Far West,11250
271,Broken Hill (C),New South Wales,0.572,0.347,14532.0,2021-08-28,NSW,83.0,50.0,X860,Far West,11250
272,Burwood (A),New South Wales,93.9,92.2,35639.0,2021-12-20,NSW,33465.0,32859.0,X700,Sydney,11300
273,Burwood (A),New South Wales,93.7,91.9,35639.0,2021-12-13,NSW,33394.0,32752.0,X700,Sydney,11300
274,Burwood (A),New South Wales,93.6,91.7,35639.0,2021-12-06,NSW,33358.0,32681.0,X700,Sydney,11300
275,Burwood (A),New South Wales,93.6,91.5,35639.0,2021-11-29,NSW,33358.0,32610.0,X700,Sydney,11300
276,Burwood (A),New South Wales,93.6,91.3,35639.0,2021-11-22,NSW,33358.0,32538.0,X700,Sydney,11300
277,Burwood (A),New South Wales,93.5,90.8,35639.0,2021-11-15,NSW,33322.0,32360.0,X700,Sydney,11300
278,Burwood (A),New South Wales,93.4,90.0,35639.0,2021-11-08,NSW,33287.0,32075.0,X700,Sydney,11300
279,Burwood (A),New South Wales,93.3,88.9,35639.0,2021-11-01,NSW,33251.0,31683.0,X700,Sydney,11300
280,Burwood (A),New South Wales,92.8,86.5,35639.0,2021-10-25,NSW,33073.0,30828.0,X700,Sydney,11300
281,Burwood (A),New South Wales,91.9,82.4,35639.0,2021-10-18,NSW,32752.0,29367.0,X700,Sydney,11300
282,Burwood (A),New South Wales,88.7,66.9,35639.0,2021-10-04,NSW,31612.0,23842.0,X700,Sydney,11300
283,Burwood (A),New South Wales,90.3,75.3,35639.0,2021-10-11,NSW,32182.0,26836.0,X700,Sydney,11300
284,Burwood (A),New South Wales,86.6,58.5,35639.0,2021-09-27,NSW,30863.0,20849.0,X700,Sydney,11300
285,Burwood (A),New South Wales,84.5,50.7,35639.0,2021-09-20,NSW,30115.0,18069.0,X700,Sydney,11300
286,Burwood (A),New South Wales,0.8191307275737254,0.436179466314992,35639.0,2021-09-13,NSW,292.0,155.0,X700,Sydney,11300
287,Burwood (A),New South Wales,0.7795112096298997,0.3834002076377003,35639.0,2021-09-06,NSW,278.0,137.0,X700,Sydney,11300
288,Burwood (A),New South Wales,0.66,0.325,35639.0,2021-08-28,NSW,235.0,116.0,X700,Sydney,11300
289,Byron (A),New South Wales,88.0,85.3,29052.0,2021-12-20,NSW,25566.0,24781.0,X810,Northern NSW,11350
290,Byron (A),New South Wales,87.7,84.4,29052.0,2021-12-13,NSW,25479.0,24520.0,X810,Northern NSW,11350
291,Byron (A),New South Wales,87.4,83.5,29052.0,2021-12-06,NSW,25391.0,24258.0,X810,Northern NSW,11350
292,Byron (A),New South Wales,87.1,82.3,29052.0,2021-11-29,NSW,25304.0,23910.0,X810,Northern NSW,11350
293,Byron (A),New South Wales,86.7,80.9,29052.0,2021-11-22,NSW,25188.0,23503.0,X810,Northern NSW,11350
294,Byron (A),New South Wales,86.3,78.7,29052.0,2021-11-15,NSW,25072.0,22864.0,X810,Northern NSW,11350
295,Byron (A),New South Wales,85.5,75.0,29052.0,2021-11-08,NSW,24839.0,21789.0,X810,Northern NSW,11350
296,Byron (A),New South Wales,84.6,69.2,29052.0,2021-11-01,NSW,24578.0,20104.0,X810,Northern NSW,11350
297,Byron (A),New South Wales,83.4,63.5,29052.0,2021-10-25,NSW,24229.0,18448.0,X810,Northern NSW,11350
298,Byron (A),New South Wales,80.4,55.3,29052.0,2021-10-18,NSW,23358.0,16066.0,X810,Northern NSW,11350
299,Byron (A),New South Wales,72.0,41.6,29052.0,2021-10-04,NSW,20917.0,12086.0,X810,Northern NSW,11350
300,Byron (A),New South Wales,75.7,47.1,29052.0,2021-10-11,NSW,21992.0,13683.0,X810,Northern NSW,11350
301,Byron (A),New South Wales,65.9,38.0,29052.0,2021-09-27,NSW,19145.0,11040.0,X810,Northern NSW,11350
302,Byron (A),New South Wales,60.9,34.9,29052.0,2021-09-20,NSW,17693.0,10139.0,X810,Northern NSW,11350
303,Byron (A),New South Wales,0.5591353435219606,0.3179471292854192,29052.0,2021-09-13,NSW,162.0,92.0,X810,Northern NSW,11350
304,Byron (A),New South Wales,0.5217196750654,0.2865551425030979,29052.0,2021-09-06,NSW,152.0,83.0,X810,Northern NSW,11350
305,Byron (A),New South Wales,0.472,0.255,29052.0,2021-08-28,NSW,137.0,74.0,X810,Northern NSW,11350
306,Cabonne (A),New South Wales,95.0,94.7,10765.0,2021-12-20,NSW,10227.0,10194.0,X850,Western NSW,11400
307,Cabonne (A),New South Wales,95.0,94.4,10765.0,2021-12-13,NSW,10227.0,10162.0,X850,Western NSW,11400
308,Cabonne (A),New South Wales,95.0,94.0,10765.0,2021-12-06,NSW,10227.0,10119.0,X850,Western NSW,11400
309,Cabonne (A),New South Wales,95.0,93.2,10765.0,2021-11-29,NSW,10227.0,10033.0,X850,Western NSW,11400
310,Cabonne (A),New South Wales,95.0,92.7,10765.0,2021-11-22,NSW,10227.0,9979.0,X850,Western NSW,11400
311,Cabonne (A),New South Wales,95.0,91.9,10765.0,2021-11-15,NSW,10227.0,9893.0,X850,Western NSW,11400
312,Cabonne (A),New South Wales,94.9,90.6,10765.0,2021-11-08,NSW,10216.0,9753.0,X850,Western NSW,11400
313,Cabonne (A),New South Wales,94.4,88.1,10765.0,2021-11-01,NSW,10162.0,9484.0,X850,Western NSW,11400
314,Cabonne (A),New South Wales,94.1,86.0,10765.0,2021-10-25,NSW,10130.0,9258.0,X850,Western NSW,11400
315,Cabonne (A),New South Wales,93.3,82.5,10765.0,2021-10-18,NSW,10044.0,8881.0,X850,Western NSW,11400
