,date,lhd_code,lhd_name,lga_code,lga_name,case_count,state_name,state_code
72,2020-03-13,X710,South Western Sydney,18350,Wingecarribee (A),1,New South Wales,NSW
73,2020-03-13,X720,South Eastern Sydney,10500,Bayside (A),1,New South Wales,NSW
74,2020-03-13,X720,South Eastern Sydney,12930,Georges River (A),1,New South Wales,NSW
75,2020-03-13,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW
76,2020-03-13,X720,South Eastern Sydney,17200,Sydney (C),1,New South Wales,NSW
77,2020-03-13,X720,South Eastern Sydney,18050,Waverley (A),2,New South Wales,NSW
78,2020-03-13,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW
79,2020-03-13,X740,Western Sydney,10750,Blacktown (C),1,New South Wales,NSW
80,2020-03-13,X750,Nepean Blue Mountains,10900,Blue Mountains (C),1,New South Wales,NSW
81,2020-03-13,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW
82,2020-03-13,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
83,2020-03-13,X800,Hunter New England,11720,Cessnock (C),1,New South Wales,NSW
84,2020-03-13,X820,Mid North Coast,11800,Coffs Harbour (C),2,New South Wales,NSW
85,2020-03-14,X700,Sydney,11520,Canada Bay (A),1,New South Wales,NSW
86,2020-03-14,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW
87,2020-03-14,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW
88,2020-03-14,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW
89,2020-03-14,X720,South Eastern Sydney,17200,Sydney (C),2,New South Wales,NSW
90,2020-03-14,X720,South Eastern Sydney,18050,Waverley (A),4,New South Wales,NSW
91,2020-03-14,X720,South Eastern Sydney,18500,Woollahra (A),1,New South Wales,NSW
92,2020-03-14,X740,Western Sydney,12380,Cumberland (A),1,New South Wales,NSW
93,2020-03-14,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW
94,2020-03-14,X740,Western Sydney,17420,The Hills Shire (A),1,New South Wales,NSW
95,2020-03-14,X750,Nepean Blue Mountains,16350,Penrith (C),1,New South Wales,NSW
96,2020-03-14,X760,Northern Sydney,14100,Hunters Hill (A),1,New South Wales,NSW
97,2020-03-14,X760,Northern Sydney,15990,Northern Beaches (A),2,New South Wales,NSW
98,2020-03-14,X760,Northern Sydney,18250,Willoughby (C),1,New South Wales,NSW
99,2020-03-14,X810,Northern NSW,11350,Byron (A),1,New South Wales,NSW
100,2020-03-15,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW
101,2020-03-15,X700,Sydney,14170,Inner West (A),2,New South Wales,NSW
102,2020-03-15,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW
103,2020-03-15,X710,South Western Sydney,12850,Fairfield (C),1,New South Wales,NSW
104,2020-03-15,X710,South Western Sydney,18350,Wingecarribee (A),1,New South Wales,NSW
105,2020-03-15,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW
106,2020-03-15,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW
107,2020-03-15,X720,South Eastern Sydney,17200,Sydney (C),1,New South Wales,NSW
108,2020-03-15,X720,South Eastern Sydney,18050,Waverley (A),2,New South Wales,NSW
109,2020-03-15,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW
110,2020-03-15,X730,Illawarra Shoalhaven,18450,Wollongong (C),1,New South Wales,NSW
111,2020-03-15,X740,Western Sydney,12380,Cumberland (A),2,New South Wales,NSW
112,2020-03-15,X740,Western Sydney,16260,Parramatta (C),3,New South Wales,NSW
113,2020-03-15,X750,Nepean Blue Mountains,13800,Hawkesbury (C),1,New South Wales,NSW
114,2020-03-15,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW
115,2020-03-15,X760,Northern Sydney,14100,Hunters Hill (A),1,New South Wales,NSW
116,2020-03-15,X760,Northern Sydney,14700,Lane Cove (A),2,New South Wales,NSW
117,2020-03-15,X760,Northern Sydney,15350,Mosman (A),2,New South Wales,NSW
118,2020-03-15,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW
119,2020-03-15,X760,Northern Sydney,15990,Northern Beaches (A),1,New South Wales,NSW
120,2020-03-15,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
121,2020-03-15,X770,Central Coast,11650,Central Coast (C) (NSW),1,New South Wales,NSW
122,2020-03-15,X800,Hunter New England,11720,Cessnock (C),2,New South Wales,NSW
123,2020-03-15,X800,Hunter New England,14650,Lake Macquarie (C),1,New South Wales,NSW
124,2020-03-15,X820,Mid North Coast,11800,Coffs Harbour (C),1,New South Wales,NSW
125,2020-03-16,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW
126,2020-03-16,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW
127,2020-03-16,X710,South Western Sydney,14900,Liverpool (C),2,New South Wales,NSW
128,2020-03-16,X710,South Western Sydney,18350,Wingecarribee (A),1,New South Wales,NSW
