,date,state_name,state_code,country,vax_1_dose,vax_2_dose,vax_1_%,vax_2_%,population,age_group,sex,death_count,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum
33,2021-12-21,,,Australia,421647.0,413932.0,1.0464834035709498,1.0273355868936112,402918.0,"(75, 79)",Female,,,,,,,,,,,,,,,,,,,
34,2021-12-21,,,Australia,248865.0,242946.0,1.037607621588943,1.012929183430966,239845.0,"(80, 84)",Male,,,,,,,,,,,,,,,,,,,
35,2021-12-21,,,Australia,291996.0,285205.0,1.0117741633691155,0.9882431617682729,288598.0,"(80, 84)",Female,,,,,,,,,,,,,,,,,,,
36,2021-12-21,,,Australia,137254.0,132604.0,1.0475565358753807,1.0120665837295741,131023.0,"(85, 89)",Male,,,,,,,,,,,,,,,,,,,
37,2021-12-21,,,Australia,187732.0,181423.0,1.0138359345466328,0.9797645406923368,185170.0,"(85, 89)",Female,,,,,,,,,,,,,,,,,,,
38,2021-12-21,,,Australia,60266.0,57311.0,1.048852225064829,0.9974242503350215,57459.0,"(90, 94)",Male,,,,,,,,,,,,,,,,,,,
39,2021-12-21,,,Australia,103806.0,99134.0,1.0281282808074006,0.9818552780143811,100966.0,"(90, 94)",Female,,,,,,,,,,,,,,,,,,,
40,2021-12-21,,,Australia,15285.0,14122.0,0.9719572682182374,0.8980033066259697,15726.0,"(95,)",Male,,,,,,,,,,,,,,,,,,,
41,2021-12-21,,,Australia,38506.0,35867.0,1.0354972301403753,0.96452966170064,37186.0,"(95,)",Female,,,,,,,,,,,,,,,,,,,
42,2021-12-20,New South Wales,NSW,Australia,2777576.0,6132566.0,0.4230465493825365,0.9340377671612456,6565651.0,,,,2482.0,100040.0,0.0,644.0,144368.0,23703667.0,2482.0,100040.0,0.0,2802.0,34.0,261.0,5.0,33.0,1.0,11.0,0.0,0.0
43,2021-12-20,Victoria,VIC,Australia,2178753.0,4982170.0,0.4029076624748917,0.9213318208867785,5407574.0,,,,1289.0,146859.0,0.0,1463.0,71491.0,16528164.0,1289.0,146859.0,1207.0,132230.0,14.0,406.0,0.0,81.0,2.0,43.0,0.0,0.0
44,2021-12-20,Queensland,QLD,Australia,1681633.0,3483405.0,0.40888713929779097,0.8469859389448361,4112707.0,,,,59.0,2356.0,0.0,7.0,12371.0,5148455.0,59.0,2356.0,0.0,2086.0,9.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2021-12-20,Tasmania,TAS,Australia,214876.0,403817.0,0.4881637178193979,0.9174072862426506,440172.0,,,,4.0,251.0,0.0,13.0,2729.0,423218.0,4.0,251.0,1.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2021-12-20,Western Australia,WA,Australia,847358.0,1731759.0,0.4006462478569517,0.8188070987026815,2114978.0,,,,0.0,1125.0,0.0,9.0,10764.0,2023891.0,0.0,1125.0,0.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2021-12-20,South Australia,SA,Australia,651365.0,1247285.0,0.45221119133574006,0.8659296028880866,1440400.0,,,,104.0,1400.0,0.0,4.0,20223.0,2846857.0,104.0,1400.0,7.0,990.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2021-12-20,Northern Territory,NT,Australia,56521.0,157993.0,0.2965876235103977,0.8290505900687932,190571.0,,,,2.0,363.0,0.0,1.0,3309.0,562859.0,2.0,363.0,0.0,282.0,6.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0
49,2021-12-20,Australian Capital Territory,ACT,Australia,134236.0,341610.0,0.39017896330917895,0.992945526207937,344037.0,,,,13.0,2291.0,0.0,15.0,7732.0,694131.0,13.0,2291.0,4.0,2164.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2021-12-20,,,Australia,533155.0,496219.0,0.8669243377192697,0.806865410506735,614996.0,"(16, 19)",Male,,,,,,,,,,,,,,,,,,,
51,2021-12-20,,,Australia,523160.0,492979.0,0.9007792887569605,0.848813504457752,580786.0,"(16, 19)",Female,,,,,,,,,,,,,,,,,,,
52,2021-12-20,,,Australia,746194.0,694706.0,0.8479862721032774,0.7894745215691622,879960.0,"(20, 24)",Male,,,,,,,,,,,,,,,,,,,
53,2021-12-20,,,Australia,722402.0,686987.0,0.86791278605961,0.8253642724642696,832344.0,"(20, 24)",Female,,,,,,,,,,,,,,,,,,,
54,2021-12-20,,,Australia,844417.0,790916.0,0.878843039545059,0.8231608570940897,960828.0,"(25, 29)",Male,,,,,,,,,,,,,,,,,,,
55,2021-12-20,,,Australia,820475.0,781970.0,0.8675775186421179,0.8268619912277363,945708.0,"(25, 29)",Female,,,,,,,,,,,,,,,,,,,
56,2021-12-20,,,Australia,857023.0,810835.0,0.9034808908904793,0.8547891108700488,948579.0,"(30, 34)",Male,,,,,,,,,,,,,,,,,,,
57,2021-12-20,,,Australia,874206.0,837158.0,0.8965185537661314,0.858524969439408,975112.0,"(30, 34)",Female,,,,,,,,,,,,,,,,,,,
58,2021-12-20,,,Australia,853944.0,815586.0,0.939594627454907,0.8973893180670369,908843.0,"(35, 39)",Male,,,,,,,,,,,,,,,,,,,
59,2021-12-20,,,Australia,866760.0,836235.0,0.9358470357177948,0.9028889726261827,926177.0,"(35, 39)",Female,,,,,,,,,,,,,,,,,,,
60,2021-12-20,,,Australia,775687.0,746310.0,0.9635384577163868,0.927047103249528,805040.0,"(40, 44)",Male,,,,,,,,,,,,,,,,,,,
61,2021-12-20,,,Australia,779316.0,756209.0,0.9560200547863199,0.9276737159379612,815167.0,"(40, 44)",Female,,,,,,,,,,,,,,,,,,,
62,2021-12-20,,,Australia,755597.0,731078.0,0.9148604880647524,0.8851734137290157,825915.0,"(45, 49)",Male,,,,,,,,,,,,,,,,,,,
63,2021-12-20,,,Australia,769523.0,750041.0,0.9044688475918575,0.8815704259868054,850801.0,"(45, 49)",Female,,,,,,,,,,,,,,,,,,,
64,2021-12-20,,,Australia,753213.0,732365.0,0.9869893152257379,0.9596706772789336,763142.0,"(50, 54)",Male,,,,,,,,,,,,,,,,,,,
65,2021-12-20,,,Australia,774373.0,757047.0,0.9662921488521137,0.9446721055770877,801386.0,"(50, 54)",Female,,,,,,,,,,,,,,,,,,,
66,2021-12-20,,,Australia,717027.0,700560.0,0.943651517484533,0.9219799353287456,759843.0,"(55, 59)",Male,,,,,,,,,,,,,,,,,,,
67,2021-12-20,,,Australia,733415.0,719085.0,0.9216118201147028,0.9036046926599279,795796.0,"(55, 59)",Female,,,,,,,,,,,,,,,,,,,
