,date,lhd_code,lhd_name,lga_code,lga_name,cases,state_name,state_code,country,saved_date
57,2020-03-11,X850,Western NSW,16150,Orange (C),2,New South Wales,NSW,Australia,2021-12-22
58,2020-03-12,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW,Australia,2021-12-22
59,2020-03-12,X710,South Western Sydney,11450,Camden (A),1,New South Wales,NSW,Australia,2021-12-22
60,2020-03-12,X710,South Western Sydney,11500,Campbelltown (C) (NSW),1,New South Wales,NSW,Australia,2021-12-22
61,2020-03-12,X710,South Western Sydney,14900,Liverpool (C),1,New South Wales,NSW,Australia,2021-12-22
62,2020-03-12,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW,Australia,2021-12-22
63,2020-03-12,X720,South Eastern Sydney,18050,Waverley (A),2,New South Wales,NSW,Australia,2021-12-22
64,2020-03-12,X740,Western Sydney,10750,Blacktown (C),1,New South Wales,NSW,Australia,2021-12-22
65,2020-03-12,X740,Western Sydney,12380,Cumberland (A),1,New South Wales,NSW,Australia,2021-12-22
66,2020-03-12,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW,Australia,2021-12-22
67,2020-03-12,X750,Nepean Blue Mountains,13800,Hawkesbury (C),1,New South Wales,NSW,Australia,2021-12-22
68,2020-03-12,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW,Australia,2021-12-22
69,2020-03-12,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW,Australia,2021-12-22
70,2020-03-12,X850,Western NSW,16150,Orange (C),1,New South Wales,NSW,Australia,2021-12-22
71,2020-03-13,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW,Australia,2021-12-22
72,2020-03-13,X710,South Western Sydney,18350,Wingecarribee (A),1,New South Wales,NSW,Australia,2021-12-22
73,2020-03-13,X720,South Eastern Sydney,10500,Bayside (A),1,New South Wales,NSW,Australia,2021-12-22
74,2020-03-13,X720,South Eastern Sydney,12930,Georges River (A),1,New South Wales,NSW,Australia,2021-12-22
75,2020-03-13,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW,Australia,2021-12-22
76,2020-03-13,X720,South Eastern Sydney,17200,Sydney (C),1,New South Wales,NSW,Australia,2021-12-22
77,2020-03-13,X720,South Eastern Sydney,18050,Waverley (A),2,New South Wales,NSW,Australia,2021-12-22
78,2020-03-13,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW,Australia,2021-12-22
79,2020-03-13,X740,Western Sydney,10750,Blacktown (C),1,New South Wales,NSW,Australia,2021-12-22
80,2020-03-13,X750,Nepean Blue Mountains,10900,Blue Mountains (C),1,New South Wales,NSW,Australia,2021-12-22
81,2020-03-13,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW,Australia,2021-12-22
82,2020-03-13,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW,Australia,2021-12-22
83,2020-03-13,X800,Hunter New England,11720,Cessnock (C),1,New South Wales,NSW,Australia,2021-12-22
84,2020-03-13,X820,Mid North Coast,11800,Coffs Harbour (C),2,New South Wales,NSW,Australia,2021-12-22
85,2020-03-14,X700,Sydney,11520,Canada Bay (A),1,New South Wales,NSW,Australia,2021-12-22
86,2020-03-14,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW,Australia,2021-12-22
87,2020-03-14,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW,Australia,2021-12-22
88,2020-03-14,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW,Australia,2021-12-22
89,2020-03-14,X720,South Eastern Sydney,17200,Sydney (C),2,New South Wales,NSW,Australia,2021-12-22
90,2020-03-14,X720,South Eastern Sydney,18050,Waverley (A),4,New South Wales,NSW,Australia,2021-12-22
